source_id,source_file,source_type,title,category,product,component,status,content_clean,risk_level,validated,allowed_for_ai
kb-0018,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Renovação e Atualização de Certificados do Control Plane no NKP — KB-[PHONE_MASKED],KBs Internos,Nutanix,NKP,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Renovação e Atualização de Certificados do Control Plane no NKP — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-14 12:05:36 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-14 12:21:25 | Criado a partir do problema: FALSE | Last Updated: 2026-05-14 12:21:25,low,false,true
kb-0019,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED],KBs Internos,Nutanix,,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-19 15:12:29 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-19 15:31:03 | Criado a partir do problema: FALSE | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-19 15:31:03,low,false,true
kb-0020,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED],KBs Internos,Nutanix,,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-19 15:12:29 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-19 15:31:03 | Criado a partir do problema: FALSE | Criado por Freddy: Kaike Maciel | Last Updated: 2026-05-19 15:31:03,low,false,true
kb-0021,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED],KBs Internos,Nutanix,Prism,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-20 17:34:45 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-21 17:09:46 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-21 17:09:46,high,false,true
kb-0022,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED],KBs Internos,Nutanix,Prism,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-20 17:34:45 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-21 17:09:46 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Criado por Freddy: Ana Paula Costa | Last Updated: 2026-05-21 17:09:46,high,false,true
kb-0023,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED],KBs Internos,Nutanix,Prism,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-20 17:34:45 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-21 17:09:46 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Criado por Freddy: Kaike Maciel | Last Updated: 2026-05-21 17:09:46,high,false,true
kb-0024,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Remover Cluster da Blacklist para Registro no Prism Central - KB-[PHONE_MASKED],KBs Internos,Nutanix,Prism,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Remover Cluster da Blacklist para Registro no Prism Central - KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-26 17:20:15 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-26 17:23:09 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-26 17:23:09,high,false,true
kb-0025,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,"""Procedimento de Recuperação Completa de Nó: [HOST_MASKED]",2026-05-26 17:45:04,Nutanix,CVM,Permanent,"Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: ""Procedimento de Recuperação Completa de Nó: [HOST_MASKED] | Tipo: CVM Ring e Metadata Store"" | Status: Permanent | Data de criação: Draft | Categoria: 2026-05-26 17:45:04 | Pasta: KBs Internos | Data modificada: Nutanix | Data de revisão: 2026-05-26 17:45:04 | Viewed by Name: FALSE | None: ['2026-05-26 17:45:04']",low,false,true
kb-0026,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Troubleshooting Prometheus Pod CrashLoop on PC 2024.x (CMSP WAL Corruption) - KB-[PHONE_MASKED],KBs Internos,Nutanix,,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Troubleshooting Prometheus Pod CrashLoop on PC 2024.x (CMSP WAL Corruption) - KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-06-01 12:07:04 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-06-01 12:07:52 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Last Updated: 2026-06-01 12:07:52,high,false,true
kb-0027,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Resolving 'Unhealthy' ClusterWorkflow Status Post-Service Recovery via mspctl — KB-[PHONE_MASKED],KBs Internos,Nutanix,,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Resolving 'Unhealthy' ClusterWorkflow Status Post-Service Recovery via mspctl — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-06-01 12:12:01 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-06-01 12:12:41 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Last Updated: 2026-06-01 12:12:41,high,false,true
kb-0028,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Restabelecimento do Módulo de Infraestrutura (pc.[IP_MASKED]) - KB-[PHONE_MASKED],KBs Internos,Nutanix,,Published,Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Restabelecimento do Módulo de Infraestrutura (pc.[IP_MASKED]) - KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-06-15 09:42:50 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-06-15 09:43:43 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Ticket associado ID: [TICKET_ID_MASKED] | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-06-15 09:43:43,low,false,true
